"ID","プロダクト名","言語","用途"
1,"Apache","C","Webサーバ"
2,"Leiningen","Clojure","ビルド"
3,"RubyOnRails","Ruby","フレームワーク"
5,"Cabal","Haskell","ビルド"
6,"Yesod","Haskell","フレームワーク"
7,"Zope","Python","フレームワーク"
8,"CakePHP","PHP","フレームワーク"
9,"Smarty","PHP","フレームワーク"
10,"Sinatra","Ruby","フレームワーク"
11,"Compojure","Clojure","フレームワーク"
12,"Jquery","JavaScript","フレームワーク"
13,"Perl","Moose","フレームワーク"
14,"Tomcat","Java","Webサーバ"
15,"Struts","Java","フレームワーク"
16,"WiLiki","Scheme","フレームワーク"
17,"Nunit","C#","フレームワーク"
18,"Junit","Java","フレームワーク"
19,"Nant","C#","ビルド"
